iter	RMSE	MAE
0	7960.739212	4476.6736
5	7960.700519	4476.612267
10	7960.661552	4476.550933
15	7960.620939	4476.489067
20	7960.580599	4476.427733
25	7960.54026	4476.3664
30	7960.500469	4476.3056
35	7960.461501	4476.2448
40	7960.42116	4476.184533
45	7960.381643	4476.123733
50	7960.341028	4476.061867
55	7960.300962	4476.001067
60	7960.261718	4475.9408
65	7960.221926	4475.878933
70	7960.182682	4475.818133
75	7960.141517	4475.7568
80	7960.101998	4475.695467
85	7960.06248	4475.6352
90	7960.021863	4475.5744
95	7959.982618	4475.512533
100	7959.94255	4475.451733
105	7959.901658	4475.391467
110	7959.862962	4475.330133
115	7959.823442	4475.269333
120	7959.784196	4475.208
125	7959.741382	4475.1472
130	7959.702959	4475.0864
135	7959.664811	4475.025067
140	7959.624467	4474.963733
145	7959.583299	4474.903467
150	7959.543228	4474.8416
155	7959.503707	4474.781867
160	7959.463636	4474.72
165	7959.42384	4474.659733
170	7959.384867	4474.598933
175	7959.344795	4474.5376
180	7959.304724	4474.475733
185	7959.263829	4474.415467
190	7959.223757	4474.354133
195	7959.184783	4474.293333
200	7959.145259	4474.232533
205	7959.10354	4474.171733
210	7959.064565	4474.111467
215	7959.025041	4474.049067
220	7958.985517	4473.988267
225	7958.944895	4473.927467
230	7958.906194	4473.866133
235	7958.865846	4473.804267
240	7958.824399	4473.742667
245	7958.784874	4473.6824
250	7958.745898	4473.621067
255	7958.705549	4473.559733
260	7958.667121	4473.498933
265	7958.626223	4473.4384
270	7958.586148	4473.377067
275	7958.546347	4473.317067
280	7958.507095	4473.255733
285	7958.467294	4473.193867
290	7958.427218	4473.134133
295	7958.386318	4473.072533
300	7958.346516	4473.011467
305	7958.306989	4472.9504
310	7958.266912	4472.889067
315	7958.227933	4472.8272
320	7958.18868	4472.766667
325	7958.146681	4472.706133
330	7958.107701	4472.645333
335	7958.067898	4472.584267
340	7958.02782	4472.522667
345	7957.988566	4472.461333
350	7957.947664	4472.400533
355	7957.907585	4472.339467
360	7957.866958	4472.278133
365	7957.829075	4472.2168
370	7957.788996	4472.155467
375	7957.748367	4472.094667
380	7957.708562	4472.033867
385	7957.668757	4471.9728
390	7957.628677	4471.911467
395	7957.589146	4471.8504
400	7957.549066	4471.788
405	7957.509809	4471.726933
410	7957.46863	4471.666667
415	7957.429647	4471.606133
420	7957.39039	4471.5448
425	7957.350034	4471.4832
430	7957.310227	4471.4224
435	7957.269871	4471.3616
440	7957.22924	4471.299733
445	7957.191079	4471.2384
450	7957.149899	4471.177067
455	7957.109542	4471.116267
460	7957.069459	4471.054933
465	7957.031572	4470.993067
470	7956.992038	4470.932267
475	7956.949759	4470.870667
480	7956.911323	4470.8096
485	7956.870964	4470.748
490	7956.831978	4470.686667
495	7956.790522	4470.625333
500	7956.75181	4470.564533
505	7956.711725	4470.502133
510	7956.671366	4470.441333
515	7956.63183	4470.379467
520	7956.592294	4470.318933
525	7956.552209	4470.2584
530	7956.512947	4470.197067
535	7956.473685	4470.134933
540	7956.432226	4470.0744
545	7956.392689	4470.012267
550	7956.353152	4469.9528
555	7956.31334	4469.8912
560	7956.273253	4469.829067
565	7956.232892	4469.768267
570	7956.193628	4469.706933
575	7956.154914	4469.6456
580	7956.114003	4469.584267
585	7956.075013	4469.522667
590	7956.032729	4469.4624
595	7955.994563	4469.4008
600	7955.954474	4469.339467
605	7955.914386	4469.277867
610	7955.874297	4469.216533
615	7955.835032	4469.154667
620	7955.795217	4469.094667
625	7955.755677	4469.0328
630	7955.715038	4468.971733
635	7955.675223	4468.909867
640	7955.636781	4468.848267
645	7955.596141	4468.786933
650	7955.555227	4468.725333
655	7955.51651	4468.664267
660	7955.477243	4468.603467
665	7955.436603	4468.541867
670	7955.397335	4468.481867
675	7955.35642	4468.4216
680	7955.316328	4468.360533
685	7955.278434	4468.299733
690	7955.238616	4468.2384
695	7955.196876	4468.175733
700	7955.157608	4468.1152
705	7955.118064	4468.053067
710	7955.077697	4467.992
715	7955.038428	4467.930933
720	7954.999159	4467.8688
725	7954.957692	4467.808533
730	7954.918148	4467.746933
735	7954.879976	4467.6864
740	7954.838509	4467.6248
745	7954.799788	4467.564
750	7954.759419	4467.502133
755	7954.719599	4467.441067
760	7954.678955	4467.380533
765	7954.639135	4467.318933
770	7954.601237	4467.257867
775	7954.560318	4467.196
780	7954.519673	4467.134667
785	7954.480401	4467.0728
790	7954.441953	4467.011733
795	7954.401033	4466.9504
800	7954.362035	4466.890133
805	7954.32084	4466.830133
810	7954.281292	4466.768
815	7954.242294	4466.7064
820	7954.203295	4466.645067
825	7954.161001	4466.583467
830	7954.121727	4466.522667
835	7954.082178	4466.462133
840	7954.043179	4466.4008
845	7954.003081	4466.3392
850	7953.962708	4466.2776
855	7953.922609	4466.216533
860	7953.88306	4466.154667
865	7953.84351	4466.093333
870	7953.804509	4466.032
875	7953.764135	4465.970667
880	7953.722388	4465.909067
885	7953.68476	4465.848267
890	7953.645209	4465.7872
